#6-2(lambda/4),25deg1,25deg2,55deg1,55deg2,70deg1,70deg2,85deg1,85deg2,115deg1,115deg2
0,717,830,490,500,408,408,482,480,675,665
10,680,727,429,432,381,379,495,488,609,603
20,570,591,332,353,339,337,456,451,492,492
30,386,412,228,236,278,277,386,473,348,353
40,207,236,147,146,195,201,271,275,212,207
50,90,106,73,73,15,120,159,158,94,91
60,25,30,33,33,57,60,67,70,26,26
70,6,6,13,12,20,17,19,20,6,6
80,3,3,4,4,5,4,4,4,4,3
90,3,3,4,4,4,5,4,4,4,3
100,5,5,20,20,22,20,12,12,4,4
110,18,20,66,68,57,62,31,31,15,14
120,70,71,141,141,111,119,60,65,58,61
130,175,179,243,247,197,201,110,108,146,146
140,310,338,356,370,270,274,191,188,292,289
150,492,522,462,483,349,346,280,280,457,458
160,640,796,530,555,401,402,376,372,602,606
170,732,807,546,567,426,430,454,454,705,705
180,747,810,505,528,424,420,500,500,724,726
