single slit,L3,L2,L1,C,R1,R2,R3
0.02,7.9 ,5.3 ,3.90,0.00,3.70,6.3 ,9.00
0.02,8.0 ,5.3 ,3.90,0.00,3.80,6.5 ,9.05
0.02,8.0 ,5.3 ,3.75,0.00,3.80,6.4 ,9.00
0.04,3.9 ,2.6 ,1.80,0.00,2.00,3.2 ,4.40
0.04,3.6 ,2.4 ,1.90,0.00,1.80,3.1 ,4.40
0.04,3.9 ,2.6 ,1.95,0.00,1.80,3.0 ,4.25
0.08,6.1 ,3.8 ,0.95,0.00,0.90,2.4 ,4.50
0.08,6.1 ,3.8 ,0.90,0.00,1.00,2.5 ,4.65
0.08,6.0 ,3.7 ,0.90,0.00,0.95,2.5 ,4.65
0.16,3.0 ,1.9 ,0.55,0.00,0.45,1.2 ,2.15 
0.16,2.8 ,1.8 ,0.50,0.00,0.50,1.3 ,2.35 
0.16,3.1 ,2.0 ,0.50,0.00,0.45,1.2 ,2.25
